Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1976,36.7,50.4,55.9,59.9,63.9,73.3,76.4,74.4,66.8,53.9,40.9,36.5,57.4
1977,24.5,40.6,53.8,62.9,71.9,77.1,82.2,79.5,74.0,57.0,50.8,38.5,59.4
1978,27.6,29.1,46.9,61.0,66.7,76.2,80.5,78.7,75.5,57.4,53.5,42.4,58.0
1979,29.6,33.4,50.6,57.8,66.3,73.6,77.6,77.0,70.4,60.3,48.6,41.5,57.2
1980,39.7,35.6,46.3,57.3,67.8,75.5,82.8,81.7,75.9,57.8,48.5,41.0,59.2
1981,35.4,42.6,47.5,63.9,64.2,77.5,79.8,76.6,68.1,60.4,49.9,38.3,58.7
1982,34.0,39.5,52.5,54.6,71.0,73.3,79.8,76.1,69.6,61.1,51.4,48.1,59.3
1983,38.8,42.6,50.2,54.5,64.8,75.5,80.5,83.2,73.7,62.4,49.9,33.9,59.2
1984,32.2,43.3,46.1,58.2,64.1,77.4,76.0,76.5,68.5,66.6,46.0,49.6,58.7
1985,27.8,36.4,53.1,61.9,68.4,75.7,80.2,77.2,70.7,64.4,56.9,34.2,58.9
1986,37.2,44.7,50.8,60.7,68.6,76.5,82.4,76.6,74.9,61.0,49.9,39.9,60.3
1987,36.1,43.0,51.8,57.7,73.3,77.5,80.2,81.0,72.1,54.6,52.4,44.1,60.3
1988,34.4,38.7,49.2,57.1,67.2,77.3,81.3,81.9,72.8,54.2,51.1,42.4,59.0
1989,44.8,39.0,52.6,59.2,65.7,74.6,79.1,77.9,70.5,61.0,51.4,29.5,58.8
1990,45.7,49.9,53.5,58.4,66.4,78.1,80.4,79.6,74.6,60.1,54.3,43.7,62.1
1991,39.2,43.8,52.5,63.8,74.1,78.2,81.1,78.2,72.3,61.2,47.1,44.5,61.3
1992,40.0,45.9,50.1,59.5,65.8,72.4,79.9,74.9,70.9,59.4,49.5,41.1,59.1
1993,41.6,39.3,47.1,56.7,67.6,75.8,83.2,81.0,71.0,58.5,47.3,40.2,59.1
1994,33.4,44.0,50.6,62.5,64.0,78.0,78.5,77.0,69.1,60.9,54.5,45.3,59.8
1995,38.6,40.3,53.4,60.9,68.4,74.7,80.8,83.2,70.7,60.0,44.0,39.5,59.5
1996,36.3,40.6,44.6,55.8,71.5,75.6,77.6,77.5,69.5,60.7,45.7,44.4,58.3
1997,37.3,45.5,53.6,54.3,63.2,72.0,79.7,76.8,71.8,59.8,45.5,39.5,58.2
1998,44.7,45.9,49.4,57.9,71.5,77.6,79.6,79.1,77.1,63.4,52.3,43.1,61.8
1999,42.5,45.7,45.6,62.6,67.6,76.5,81.9,79.4,71.8,59.9,54.0,43.6,60.9
2000,39.2,46.7,53.1,56.7,69.9,76.3,80.3,79.8,71.3,63.8,48.0,30.8,59.7
2001,35.3,44.6,45.3,63.7,68.8,73.4,79.8,78.8,70.1,58.5,54.3,44.9,59.8
2002,42.1,40.5,49.5,62.0,65.7,76.9,80.1,80.0,75.0,61.4,46.4,40.5,60.0
2003,32.8,38.0,52.0,61.1,67.2,71.9,78.2,79.3,70.2,60.6,53.5,40.3,58.8
2004,38.6,40.7,53.3,59.3,71.7,75.6,77.6,74.3,72.1,64.4,53.6,40.0,60.1
2005,43.4,44.9,47.6,59.6,66.1,76.9,81.0,81.8,75.1,61.0,51.3,37.5,60.5
2006,46.1,40.7,51.1,65.2,66.6,75.7,80.6,82.2,71.4,59.5,51.5,46.4,61.4
2007,41.7,37.1,58.2,57.4,71.1,77.9,79.9,86.9,75.8,65.4,49.8,46.3,62.3
2008,37.0,42.9,50.2,58.1,66.8,78.0,79.5,78.9,73.9,60.2,46.4,40.7,59.4
2009,35.2,43.8,52.0,59.0,67.6,78.0,75.7,77.1,72.3,56.9,51.3,39.3,59.0
2010,33.0,34.4,48.7,62.8,70.2,80.9,82.4,81.9,73.4,61.4,50.9,34.4,59.5
2011,34.4,43.6,51.3,62.9,67.2,78.6,82.9,80.5,69.1,58.6,52.0,43.8,60.4
2012,43.3,45.7,61.1,62.0,72.8,77.0,83.5,77.8,70.9,58.4,47.6,47.2,62.3
2013,42.0,42.4,44.9,59.2,67.4,77.1,77.8,77.9,73.1,61.8,46.3,41.3,59.3
2014,32.4,39.2,47.3,61.1,70.4,77.9,76.8,79.6,73.0,61.8,44.1,43.2,58.9
2015,37.6,32.5,50.6,62.1,70.9,77.9,80.8,77.2,74.1,61.9,55.7,53.1,61.2
2016,37.3,44.1,56.1,62.4,67.7,79.4,82.5,81.5,76.0,67.7,55.3,42.8,62.7
2017,47.0,51.3,53.5,65.9,69.4,76.2,81.4,77.7,71.8,62.6,52.1,40.3,62.4
2018,36.1,50.1,50.5,55.3,75.5,79.7,81.7,80.1,77.3,63.0,46.4,45.0,61.7
2019,40.0,48.9,48.9,62.1,72.7,77.0,81.4,80.3,80.4,63.7,46.1,48.4,62.5
2020,45.0,44.9,55.9,58.1,66.8,77.5,83.0,79.6,72.6,62.4,53.9,41.7,61.8
